Airline Name,Flight Type,Review Category,Review Text,Sentiment,Rating,Date of Travel,Source,Destination,Sentiment Score,Fake Review
SpiceJet,International,Seat Comfort,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,5/19/2024,Hyderabad,London,0.73,0
SpiceJet,International,Food,"During the flight, a medical emergency occurred. A passenger fainted, and the crew had to provide assistance. While they handled the situation well, it delayed our journey, and we had to make an emergency landing. The experience was quite stressful.",Emergency,1,4/23/2024,Ahmedabad,Paris,0.11,0
Vistara,International,Overall Experience,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,11/3/2024,Chennai,Sydney,0.73,0
SpiceJet,Domestic,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,12/30/2024,Pune,Sydney,0.82,0
Air India,Domestic,Seat Comfort,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,8/24/2024,Chennai,Toronto,0.65,1
SpiceJet,International,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,3/27/2024,Mumbai,Bangkok,0.84,0
GoAir,Domestic,Overall Experience,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,3/27/2024,Kolkata,Dubai,0.61,0
IndiGo,International,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,10/11/2024,Pune,Paris,0.61,0
Vistara,International,Punctuality,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,6/4/2024,Kolkata,London,0.78,0
GoAir,International,Overall Experience,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,5/26/2024,Chennai,Toronto,0.84,0
Vistara,International,Legroom,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,8/16/2024,Pune,London,0.62,1
AirAsia India,Domestic,Cabin Crew Service,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,6/22/2024,Kolkata,Dubai,0.25,0
Air India,Domestic,Legroom,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,2,7/26/2024,Delhi,Singapore,0.21,0
AirAsia India,Domestic,Seat Comfort,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,3,8/8/2024,Bangalore,London,0.18,0
Vistara,International,Seat Comfort,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,3,2/16/2025,Bangalore,Dubai,0.3,0
AirAsia India,International,Food,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,10/25/2024,Mumbai,Toronto,0.95,0
SpiceJet,Domestic,Cabin Crew Service,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,11/20/2024,Bangalore,Toronto,0.71,1
AirAsia India,Domestic,Legroom,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,12/14/2024,Kolkata,Dubai,0.92,0
GoAir,International,Food,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,6/24/2024,Pune,New York,0.81,0
GoAir,Domestic,Food,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,12/29/2024,Hyderabad,New York,0.9,0
GoAir,Domestic,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,5/14/2024,Bangalore,London,0.87,0
Air India,International,Food,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,6/28/2024,Kolkata,Bangkok,0.69,0
Vistara,International,Punctuality,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,6/24/2024,Hyderabad,Toronto,0.77,1
Air India,Domestic,Cabin Crew Service,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,12/28/2024,Ahmedabad,London,0.12,0
Air India,Domestic,Seat Comfort,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,9/17/2024,Ahmedabad,New York,0.02,0
IndiGo,Domestic,Seat Comfort,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,3/17/2024,Chennai,Toronto,0.17,0
Vistara,Domestic,Food,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,9/22/2024,Bangalore,New York,0.62,0
SpiceJet,Domestic,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,6/20/2024,Pune,Dubai,0.79,0
GoAir,Domestic,Cabin Crew Service,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,3/20/2024,Mumbai,Toronto,0.93,1
Vistara,Domestic,Food,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,1/21/2025,Mumbai,Paris,0.96,0
AirAsia India,Domestic,Punctuality,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,4/9/2024,Chennai,Paris,0.61,0
Vistara,International,Overall Experience,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,1/4/2025,Ahmedabad,New York,0.78,0
IndiGo,Domestic,Legroom,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,2,9/6/2024,Chennai,Paris,0.36,1
Air India,Domestic,Seat Comfort,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,9/19/2024,Chennai,Sydney,1,0
Vistara,International,Punctuality,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,11/25/2024,Ahmedabad,Singapore,0.78,0
AirAsia India,Domestic,Cabin Crew Service,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,1/27/2025,Mumbai,Singapore,0.79,0
SpiceJet,International,Overall Experience,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,10/1/2024,Ahmedabad,Dubai,0.92,0
IndiGo,International,Food,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,3,1/13/2025,Ahmedabad,New York,0.29,0
SpiceJet,Domestic,Punctuality,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,11/13/2024,Ahmedabad,Dubai,0.17,0
Air India,Domestic,Food,"The flight had to make an emergency landing due to a technical failure. We were stuck on the tarmac for hours with no information on what was happening. The airline handled the situation poorly, causing a lot of frustration among passengers.",Emergency,1,1/5/2025,Kolkata,Bangkok,0.09,0
AirAsia India,International,Cabin Crew Service,"The flight had to make an emergency landing due to a technical failure. We were stuck on the tarmac for hours with no information on what was happening. The airline handled the situation poorly, causing a lot of frustration among passengers.",Emergency,1,11/15/2024,Mumbai,Paris,0.05,0
GoAir,Domestic,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,2/25/2025,Kolkata,Singapore,0.96,1
GoAir,Domestic,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,1/15/2025,Chennai,Bangkok,0.61,0
Air India,International,Punctuality,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,11/25/2024,Hyderabad,Dubai,0.78,0
Air India,Domestic,Seat Comfort,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,3/27/2024,Bangalore,London,0.93,0
Vistara,Domestic,Punctuality,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,4/23/2024,Bangalore,New York,0.94,1
Vistara,International,Punctuality,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,3/26/2024,Chennai,Sydney,0.8,0
GoAir,Domestic,Legroom,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,2/19/2025,Kolkata,New York,0.11,0
Air India,Domestic,Seat Comfort,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,7/22/2024,Hyderabad,Singapore,0.88,0
IndiGo,Domestic,Seat Comfort,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,9/26/2024,Ahmedabad,Toronto,0.9,0
Air India,Domestic,Punctuality,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,8/8/2024,Hyderabad,Singapore,0.73,0
SpiceJet,Domestic,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,2/21/2025,Hyderabad,Singapore,0.85,0
IndiGo,International,Cabin Crew Service,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,8/22/2024,Ahmedabad,Bangkok,0.85,0
Air India,Domestic,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,8/23/2024,Mumbai,Toronto,0.72,0
GoAir,Domestic,Food,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,2,9/26/2024,Hyderabad,Bangkok,0.01,0
SpiceJet,International,Cabin Crew Service,"During the flight, a medical emergency occurred. A passenger fainted, and the crew had to provide assistance. While they handled the situation well, it delayed our journey, and we had to make an emergency landing. The experience was quite stressful.",Emergency,1,6/25/2024,Mumbai,New York,0.11,0
Air India,International,Overall Experience,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,6/13/2024,Chennai,Paris,0.87,0
Air India,Domestic,Food,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,2,5/9/2024,Hyderabad,Toronto,0.19,0
AirAsia India,Domestic,Food,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,1,11/24/2024,Mumbai,Dubai,0.38,0
GoAir,International,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,9/11/2024,Mumbai,Sydney,0.85,0
Vistara,International,Punctuality,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,4/13/2024,Bangalore,Dubai,0.9,0
Vistara,Domestic,Overall Experience,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,3/9/2024,Ahmedabad,London,0.65,0
Vistara,International,Overall Experience,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,5/22/2024,Mumbai,London,0.6,0
Vistara,International,Punctuality,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,12/14/2024,Mumbai,Bangkok,0.96,0
SpiceJet,International,Punctuality,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,2/9/2025,Delhi,Singapore,0.65,0
Vistara,Domestic,Cabin Crew Service,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,2/23/2025,Chennai,New York,0.62,0
GoAir,Domestic,Seat Comfort,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,1/28/2025,Pune,Paris,0.92,0
IndiGo,Domestic,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,6/25/2024,Bangalore,Bangkok,0.81,0
Air India,Domestic,Punctuality,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,6/13/2024,Delhi,Singapore,0.35,0
SpiceJet,Domestic,Cabin Crew Service,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,11/25/2024,Pune,Dubai,0.27,0
Air India,Domestic,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,10/31/2024,Hyderabad,Paris,0.82,0
IndiGo,Domestic,Seat Comfort,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,11/13/2024,Delhi,Bangkok,0.36,0
SpiceJet,Domestic,Overall Experience,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,9/28/2024,Bangalore,Sydney,0.69,1
Vistara,Domestic,Legroom,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,9/26/2024,Delhi,London,0.92,0
Vistara,International,Punctuality,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,1,8/30/2024,Bangalore,Singapore,0.13,0
Air India,Domestic,Seat Comfort,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,4/25/2024,Delhi,Paris,0.69,0
Vistara,Domestic,Legroom,"A terrifying experience! There was severe turbulence throughout the flight, and the pilot didn't provide any reassurance. Passengers were visibly panicked, and the crew did little to comfort us. I have never been this scared on a flight before.",Emergency,1,5/31/2024,Kolkata,Bangkok,0.03,0
SpiceJet,International,Food,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,4/19/2024,Pune,Paris,0.65,0
GoAir,International,Legroom,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,1/29/2025,Hyderabad,Bangkok,0.82,0
GoAir,Domestic,Food,"The flight had to make an emergency landing due to a technical failure. We were stuck on the tarmac for hours with no information on what was happening. The airline handled the situation poorly, causing a lot of frustration among passengers.",Emergency,1,10/3/2024,Kolkata,Bangkok,0.06,1
Vistara,Domestic,Cabin Crew Service,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,3,4/27/2024,Bangalore,Sydney,0.27,0
SpiceJet,International,Cabin Crew Service,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,6/23/2024,Chennai,Bangkok,0.85,0
Air India,International,Cabin Crew Service,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,12/30/2024,Ahmedabad,Paris,0.83,0
Air India,Domestic,Punctuality,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,1,1/19/2025,Chennai,London,0.1,0
GoAir,International,Seat Comfort,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,7/23/2024,Pune,Sydney,0.84,0
Air India,Domestic,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,2/2/2025,Ahmedabad,Bangkok,0.61,0
SpiceJet,Domestic,Cabin Crew Service,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,6/6/2024,Chennai,Bangkok,0.6,0
SpiceJet,International,Food,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,2/10/2025,Ahmedabad,New York,0.73,0
GoAir,International,Seat Comfort,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,3,12/31/2024,Bangalore,Toronto,0.29,0
SpiceJet,International,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,6/13/2024,Mumbai,New York,0.87,0
IndiGo,Domestic,Punctuality,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,5/17/2024,Delhi,New York,0.61,0
AirAsia India,International,Seat Comfort,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,1,4/22/2024,Mumbai,New York,0.28,0
GoAir,Domestic,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,3/14/2024,Hyderabad,New York,0.81,0
Air India,International,Food,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,1/28/2025,Bangalore,Paris,0.73,0
SpiceJet,Domestic,Food,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,8/10/2024,Pune,Singapore,0.89,0
SpiceJet,International,Overall Experience,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,4/28/2024,Chennai,Sydney,0.9,0
Vistara,Domestic,Overall Experience,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,2,7/16/2024,Mumbai,London,0.36,0
SpiceJet,Domestic,Punctuality,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,3,4/17/2024,Delhi,Paris,0.33,0
IndiGo,International,Legroom,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,8/8/2024,Mumbai,Sydney,0.73,0
AirAsia India,Domestic,Seat Comfort,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,2/22/2025,Kolkata,Singapore,0.23,0
GoAir,Domestic,Legroom,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,11/17/2024,Mumbai,Toronto,0.85,0
AirAsia India,Domestic,Food,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,11/20/2024,Chennai,Toronto,0.01,0
Vistara,International,Cabin Crew Service,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,2,10/31/2024,Kolkata,Singapore,0.18,0
AirAsia India,International,Punctuality,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,3/10/2024,Ahmedabad,Bangkok,0.79,0
